package	readme_bytes
Newtonsoft.Json	1964
Serilog	7965
AWSSDK.Core	0
Castle.Core	0
Polly	1266
Swashbuckle.AspNetCore.SwaggerGen	1222
Swashbuckle.AspNetCore.Swagger	1222
Newtonsoft.Json.Bson	0
Google.Protobuf	0
Swashbuckle.AspNetCore.SwaggerUI	1222
Moq	7970
Swashbuckle.AspNetCore	0
Serilog.Sinks.File	8490
AutoMapper	3907
Serilog.Sinks.Console	7762
StackExchange.Redis	629
Grpc.Core.Api	115
Serilog.Extensions.Logging	9322
Humanizer.Core	0
FluentValidation	2001
xunit	5082
coverlet.collector	12402
Serilog.Settings.Configuration	19917
Serilog.Formatting.Compact	7628
Npgsql	2100
Pipelines.Sockets.Unofficial	1450
Grpc.Net.Common	0
Serilog.Extensions.Hosting	4064
Grpc.Net.Client	6821
Serilog.AspNetCore	12456
FluentAssertions	0
runtime.win-x86.runtime.native.System.Data.SqlClient.sni	0
runtime.win-x64.runtime.native.System.Data.SqlClient.sni	0
runtime.win-arm64.runtime.native.System.Data.SqlClient.sni	0
Dapper	1341
OpenTelemetry.Api	26019
Serilog.Sinks.Debug	2725
NUnit	5874
CsvHelper	0
