package	readme_bytes
Microsoft.Extensions.DependencyInjection	2306
Microsoft.Extensions.Logging	5690
System.Text.Json	8583
Microsoft.Bcl.AsyncInterfaces	2329
Azure.Core	14198
System.Drawing.Common	2528
Microsoft.IdentityModel.Abstractions	6351
Microsoft.Identity.Client	7965
Microsoft.Win32.SystemEvents	3165
Microsoft.Extensions.Http	4569
System.Diagnostics.EventLog	4922
Microsoft.EntityFrameworkCore	3567
System.Windows.Extensions	3024
System.Security.Cryptography.Pkcs	0
Azure.Identity	26564
System.Memory.Data	3308
Microsoft.Identity.Client.Extensions.Msal	7965
System.Threading.Channels	2193
Microsoft.OpenApi	6585
Microsoft.Extensions.Diagnostics.Abstractions	0
Microsoft.Data.SqlClient	9595
Microsoft.Extensions.Hosting	2777
System.Formats.Asn1	5251
System.Runtime.Caching	2325
System.CodeDom	4557
Microsoft.ApplicationInsights	0
System.Diagnostics.PerformanceCounter	10418
Microsoft.Extensions.Logging.EventLog	0
Azure.Storage.Blobs	14283
Microsoft.Data.SqlClient.SNI.runtime	0
Microsoft.Extensions.ApiDescription.Server	0
Microsoft.Extensions.Diagnostics.HealthChecks.Abstractions	0
Microsoft.Extensions.Diagnostics.HealthChecks	0
System.ClientModel	19932
Microsoft.NET.Sdk.Aspire.Manifest-8.0.100	0
Microsoft.Extensions.Diagnostics	0
Azure.Security.KeyVault.Secrets	16705
Microsoft.AspNetCore.Mvc.NewtonsoftJson	3405
Azure.Storage.Common	6879
